mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288730398000,37.760949,-122.388414,-21.000000,0.000000,0.653777,-0.803600,-9.234595,0.894061,0.989689,0.926260,0.913591,0.972959,0.997838
1288730687000,37.761340,-122.388511,-20.000000,17.000000,0.040861,-1.266692,-10.228881,0.917504,0.941513,0.962112,0.847959,0.883403,0.986201
1288730690000,37.761501,-122.388543,-19.000000,24.000000,0.040861,-2.369941,-13.102775,0.835593,0.955144,0.803598,0.843123,0.818223,0.866386
1288730693000,37.761775,-122.388607,-20.000000,39.000000,-1.797886,-2.764930,-9.343558,0.963653,0.864562,0.996990,0.994171,0.989791,0.848408
1288730698000,37.762349,-122.388656,-20.000000,461.000000,0.762739,-0.503953,-4.208687,0.937129,0.939087,0.971028,0.991675,0.988075,0.954286
1288730701000,37.762735,-122.388666,-22.000000,461.000000,0.272407,0.231546,-7.818079,0.847370,0.924589,0.921769,0.913467,0.865621,0.940523
1288730704000,37.763121,-122.388682,-22.000000,47.000000,0.340509,-0.231546,-14.015338,0.884246,0.984058,0.808464,0.967688,0.961177,0.878595
1288730707000,37.763464,-122.388725,-23.000000,45.000000,0.885323,0.000000,-8.921328,0.887790,0.990452,0.958999,0.859790,0.859892,0.921264
1288730712000,37.763926,-122.388763,-21.000000,31.000000,0.272407,1.266692,-7.886181,0.885510,0.808624,0.867963,0.948629,0.877267,0.829794
1288730715000,37.764108,-122.388790,-21.000000,22.000000,-0.190685,1.035146,-9.084772,0.946455,0.942199,0.965861,0.865155,0.832203,0.982994
1288730719000,37.764269,-122.388800,-22.000000,19.000000,0.885323,-1.375655,-9.043911,0.901122,0.813330,0.918816,0.904911,0.856517,0.912460
1288730722000,37.764516,-122.388806,-21.000000,40.000000,0.231546,-1.144109,-9.425281,0.863695,0.883096,0.830502,0.833084,0.911132,0.985422
1288730726000,37.764988,-122.388843,-22.000000,49.000000,-0.149824,-0.313268,-9.956474,0.927311,0.849458,0.830306,0.815235,0.851613,0.810123
1288730729000,37.765369,-122.388892,-23.000000,50.000000,0.721878,0.994285,-8.730643,0.883584,0.916674,0.883745,0.812366,0.838385,0.888310
1288730732000,37.765707,-122.388924,-23.000000,41.000000,0.612916,-1.375655,-11.073342,0.915665,0.900213,0.914981,0.956504,0.822507,0.951917
1288730735000,37.766023,-122.388908,-24.000000,44.000000,-0.503953,1.116868,-6.469665,0.922945,0.896775,0.920605,0.800417,0.880565,0.859687
1288730740000,37.766597,-122.388934,-23.000000,46.000000,-0.313268,1.307553,-8.308413,0.920071,0.939057,0.934393,0.857112,0.818489,0.904870
1288730743000,37.766951,-122.388988,-23.000000,47.000000,0.081722,4.440233,1.947710,0.800202,0.995445,0.802016,0.803033,0.831965,0.804233
1288730746000,37.767316,-122.389036,-24.000000,50.000000,0.531194,0.108963,-9.112013,0.821161,0.838648,0.992098,0.801840,0.890727,0.955764
1288730749000,37.767708,-122.389074,-24.000000,54.000000,-0.653777,-0.108963,-6.360703,0.844014,0.964213,0.926894,0.948627,0.817201,0.818443
1288730754000,37.768405,-122.389149,-23.000000,55.000000,0.108963,-0.844462,-8.812365,0.879134,0.906414,0.805314,0.869753,0.840640,0.980246
1288730757000,37.768818,-122.389192,-23.000000,54.000000,-1.144109,-0.381370,-9.112013,0.849446,0.988700,0.928148,0.820074,0.831534,0.834792
1288730760000,37.769237,-122.389230,-22.000000,57.000000,-0.149824,0.108963,-9.888372,0.810559,0.819074,0.956999,0.973389,0.835437,0.924446
1288730763000,37.769698,-122.389299,-22.000000,62.000000,-1.035146,-1.539099,-11.727119,0.941042,0.854667,0.953473,0.826097,0.829652,0.866585
1288730768000,37.770449,-122.389390,-22.000000,57.000000,1.035146,-1.076007,-7.967904,0.873223,0.818444,0.884185,0.848227,0.891901,0.945614
1288730771000,37.770841,-122.389428,-24.000000,52.000000,1.076007,2.111154,-6.401564,0.937536,0.955526,0.842729,0.986627,0.890216,0.808314
1288730774000,37.771237,-122.389449,-25.000000,52.000000,-0.803600,0.612916,-8.662541,0.975342,0.814669,0.956297,0.815803,0.942952,0.873351
1288730777000,37.771667,-122.389476,-25.000000,54.000000,0.994285,-0.531194,-9.697687,0.892011,0.877002,0.808453,0.952908,0.943894,0.883261
1288730782000,37.772359,-122.389519,-26.000000,50.000000,-0.803600,2.179256,-7.858941,0.901407,0.920557,0.838738,0.812020,0.858772,0.961782
1288730785000,37.772675,-122.389551,-25.000000,38.000000,0.953424,-0.803600,-13.293459,0.804178,0.894037,0.864509,0.823111,0.956638,0.960752
1288730788000,37.772997,-122.389578,-25.000000,45.000000,-1.144109,-2.260978,-5.516241,0.966662,0.911983,0.822412,0.834128,0.995229,0.905576
1288730791000,37.773362,-122.389616,-25.000000,52.000000,1.525479,-1.688923,-11.495573,0.868065,0.908223,0.830117,0.948044,0.907875,0.889896
1288730796000,37.774065,-122.389691,-25.000000,58.000000,0.149824,0.149824,-7.436710,0.975714,0.974353,0.928951,0.815480,0.987082,0.988989
1288730799000,37.774504,-122.389745,-25.000000,58.000000,-0.040861,-1.947710,-15.173067,0.828720,0.940921,0.862484,0.849069,0.994844,0.914769
1288730802000,37.774934,-122.389809,-25.000000,55.000000,-0.108963,-0.926184,-12.721405,0.867965,0.853943,0.974236,0.986611,0.991907,0.827145
1288730805000,37.775320,-122.389857,-25.000000,45.000000,0.653777,0.422231,-8.499097,0.875680,0.877920,0.940973,0.991621,0.829671,0.947965
1288730810000,37.775738,-122.389895,-25.000000,18.000000,1.566340,-3.255263,-7.014479,0.883570,0.985421,0.989446,0.824349,0.822943,0.842586
1288730813000,37.775915,-122.389927,-25.000000,28.000000,0.299648,-0.108963,-10.732834,0.998768,0.935901,0.939232,0.872777,0.974885,0.985062
1288730816000,37.776135,-122.389959,-26.000000,30.000000,-0.313268,0.149824,-8.812365,0.878318,0.913190,0.859183,0.927560,0.984987,0.997626
1288730819000,37.776350,-122.389981,-25.000000,23.000000,-0.503953,0.844462,-10.147159,0.873407,0.889106,0.878928,0.890106,0.985925,0.841982
1288730824000,37.776532,-122.390029,-25.000000,7.000000,-0.040861,0.694638,-10.419566,0.954324,0.964206,0.940354,0.988828,0.947232,0.974351
1288730852000,37.776602,-122.390066,-22.000000,9.000000,0.190685,-0.844462,-10.378705,0.927987,0.856570,0.859718,0.961563,0.995781,0.890389
1288730856000,37.776693,-122.390125,-20.000000,9.000000,-0.149824,0.190685,-9.302697,0.855668,0.863716,0.973314,0.855742,0.850409,0.959148
1288730859000,37.776747,-122.390147,-19.000000,6.000000,0.299648,0.081722,-10.691973,0.874907,0.805909,0.804786,0.862494,0.987278,0.953175
1288730862000,37.776811,-122.390195,-19.000000,7.000000,-0.844462,0.190685,-5.407278,0.804039,0.812914,0.988391,0.893668,0.852801,0.847428
1288730866000,37.776875,-122.390227,-16.000000,5.000000,-0.149824,-0.612916,-6.592248,0.859798,0.879064,0.949795,0.935836,0.852599,0.802758
1288730869000,37.776918,-122.390265,-14.000000,5.000000,0.694638,0.572055,-10.610250,0.819235,0.868780,0.946278,0.873773,0.870712,0.836750
1288730874000,37.776967,-122.390281,-17.000000,0.000000,0.340509,0.381370,-9.425281,0.899994,0.988601,0.935294,0.815418,0.937511,0.979316
1288730900000,37.776999,-122.390335,-14.000000,3.000000,0.463092,0.953424,-9.152874,0.882792,0.881425,0.929839,0.815734,0.963650,0.822844
1288730904000,37.777095,-122.390442,-12.000000,9.000000,0.108963,0.190685,-11.264028,0.843702,0.870046,0.838605,0.879765,0.809343,0.914263
1288730908000,37.777133,-122.390501,-9.000000,4.000000,0.081722,-0.531194,-4.521955,0.960272,0.953054,0.827777,0.813984,0.853016,0.953060
1288730912000,37.777224,-122.390640,-10.000000,12.000000,0.108963,0.190685,-9.084772,0.885412,0.906408,0.900962,0.925148,0.873125,0.806173
1288730916000,37.777348,-122.390774,-9.000000,11.000000,0.340509,0.762739,-9.425281,0.898702,0.985174,0.817170,0.869525,0.845267,0.925583
1288730922000,37.777396,-122.390807,-10.000000,0.000000,-0.108963,0.272407,-7.967904,0.920933,0.965475,0.869114,0.811598,0.989399,0.952026
1288730950000,37.777546,-122.391011,-10.000000,27.000000,0.299648,-0.463092,-7.668256,0.960404,0.976993,0.962269,0.936211,0.956531,0.950257
1288730953000,37.777712,-122.391257,-11.000000,36.000000,-0.272407,-1.266692,-7.586534,0.917056,0.808595,0.977866,0.994464,0.820066,0.886062
1288730956000,37.777932,-122.391579,-10.000000,43.000000,0.912563,1.184970,-5.366417,0.842887,0.927985,0.901018,0.971118,0.905366,0.908185
1288730959000,37.778179,-122.391880,-12.000000,44.000000,1.116868,2.792171,-9.302697,0.806179,0.941618,0.850990,0.906572,0.845225,0.921712
1288730964000,37.778565,-122.392400,-13.000000,48.000000,-1.498238,-0.885323,-9.765789,0.866766,0.881369,0.888645,0.952999,0.853826,0.962292
1288730967000,37.778839,-122.392738,-11.000000,53.000000,0.721878,-0.612916,-10.038197,0.995360,0.884280,0.992657,0.902360,0.854323,0.928946
1288730970000,37.779134,-122.393113,-11.000000,55.000000,0.844462,0.000000,-11.182305,0.989582,0.822814,0.809233,0.800993,0.934239,0.879828
